# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Mar 11 09:24:27 2025
#
# User preference: *
#
# CONSTRAINT:  where (default_flag >0
# CONSTRAINT:  and disc_facility like '%K2%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN tic_id:         TIC ID
# COLUMN gaia_id:        GAIA ID
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,tic_id,gaia_id,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
K2-414 c,K2-414,TIC 301288279,Gaia DR2 2634046753364013440,1,1,2,Transit,2022,K2,Published Confirmed,0,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,6.66900000,0.00020000,-0.00020000,0,0.055200,0.001700,-0.002300,0,1.929,0.063,-0.073,0,0.172,0.006,-0.006,0,,,,,,,,,,,,,,56.13,,,0,,,,,0,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,,4343.00,138.00,-138.00,0,0.73,0.06,-0.05,0,0.81,0.36,-0.25,0,-0.102,0.235,-0.235,0,[Fe/H],4.62,0.15,-0.15,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h26m32.69s,351.6361913,-04d36m23.96s,-4.6066569,260.0360000,2.3740000,-2.3330000,14.2890000,0.1950000,-0.1950000,11.4380000,0.0230000,-0.0230000,13.9384000,0.0004060,-0.0004060,2022-11-07,2022-10,2022-11-07
K2-415 b,K2-415,TIC 323687123,Gaia DR2 604215144503584640,1,1,1,Transit,2023,K2,Published Confirmed,0,<a refstr=HIRANO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230200699H/abstract target=ref>Hirano et al. 2023</a>,4.01796940,0.00000270,-0.00000270,0,0.027000,0.000230,-0.000230,0,1.015,0.051,-0.005,0,0.091,0.005,0.000,0,7.50000,,,1,0.02360,,,1,Mass,,,,,4.82,0.45,-0.42,0,412,9,-9,0,0,<a refstr=HIRANO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230200699H/abstract target=ref>Hirano et al. 2023</a>,M5 V,3173.00,53.00,-53.00,0,0.20,0.01,-0.01,0,0.16,0.00,0.00,0,-0.130,0.180,-0.180,0,[Fe/H],5.07,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h08m48.37s,137.2015437,+11d51m44.10s,11.8622503,21.8182000,0.0307000,-0.0307000,15.3300000,0.0270000,-0.0270000,9.8990000,0.0230000,-0.0230000,13.7957000,0.0003740,-0.0003740,2023-03-28,2023-03,2023-03-28
K2-416 b,K2-416,TIC 301132473,Gaia DR2 2632278807386060288,1,1,1,Transit,2023,K2,Published Confirmed,0,<a refstr=INCHA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.523..474I/abstract target=ref>Incha et al. 2023</a>,13.10200000,0.00260000,-0.00240000,0,0.088000,0.010000,-0.021000,0,2.660,0.190,-0.140,0,0.237,0.017,-0.012,0,1652.70772,,,1,5.20000,,,1,Mass,,,,,,,,,447,49,-49,0,0,<a refstr=INCHA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.523..474I/abstract target=ref>Incha et al. 2023</a>,M V,3746.00,72.00,-72.00,0,0.55,0.02,-0.02,0,0.55,0.01,-0.01,0,,,,,,4.69,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h16m53.08s,349.2211822,-05d12m05.41s,-5.2015032,120.3110000,0.6050000,-0.5990000,14.7940000,0.0330000,-0.0330000,10.7340000,0.0210000,-0.0210000,13.9468000,0.0005280,-0.0005280,2023-07-10,2023-07,2023-07-10
K2-417 b,K2-417,TIC 49592509,Gaia DR2 2437684039751295744,1,1,1,Transit,2023,K2,Published Confirmed,0,<a refstr=INCHA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.523..474I/abstract target=ref>Incha et al. 2023</a>,6.53500000,0.00140000,-0.00140000,0,0.063000,0.006000,-0.014000,0,3.310,0.140,-0.120,0,0.295,0.012,-0.011,0,699.22250,,,1,2.20000,,,1,Mass,,,,,,,,,558,55,-55,0,0,<a refstr=INCHA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.523..474I/abstract target=ref>Incha et al. 2023</a>,M V,3861.00,77.00,-77.00,0,0.58,0.00,0.00,0,0.57,0.01,-0.01,0,,,,,,4.67,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h20m34.02s,350.1417675,-10d02m11.72s,-10.0365901,94.0424000,0.3023000,-0.3003000,13.9090000,0.0770000,-0.0770000,10.0600000,0.0190000,-0.0190000,13.1533000,0.0005900,-0.0005900,2023-07-10,2023-07,2023-07-10
K2-419 A b,K2-419 A,TIC 437054764,Gaia DR2 605593554127479936,1,2,1,Transit,2024,K2,Published Confirmed,0,<a refstr=KANODIA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240814694K/abstract target=ref>Kanodia et al. 2024</a>,20.35847252,0.00000614,-0.00000575,0,0.120800,0.001600,-0.001700,0,10.550,0.390,-0.390,0,0.941,0.034,-0.034,0,196.00000,15.00000,-15.00000,0,0.61700,0.04700,-0.04700,0,Mass,0.042000,0.045000,-0.029000,0,3.30,0.40,-0.40,0,377,11,-11,0,0,<a refstr=KANODIA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240814694K/abstract target=ref>Kanodia et al. 2024</a>,,3711.00,88.00,-88.00,0,0.54,0.02,-0.02,0,0.56,0.02,-0.02,0,-0.110,0.120,-0.120,0,[Fe/H],4.74,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h00m04.68s,135.0194934,+13d16m25.34s,13.2737056,268.6850000,3.6615000,-3.6615000,16.5200000,0.2000000,-0.2000000,12.5550000,0.0240000,-0.0240000,15.7336000,0.0004860,-0.0004860,2024-09-03,2024-08,2024-09-03
K2-42 b,K2-42,TIC 82054726,Gaia DR2 3599651986730350464,1,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,6.68796000,0.00093000,-0.00093000,0,0.061700,0.001300,-0.001300,0,2.150,0.240,-0.240,0,0.192,0.021,-0.021,0,,,,,,,,,,,,,,44.10,6.30,-6.30,0,,,,,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,4613.00,71.00,-71.00,0,0.64,0.04,-0.04,0,0.70,0.05,-0.05,0,,,,,,4.66,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h46m39.78s,176.6657559,-05d10m19.37s,-5.1720463,396.9130000,7.9400000,-7.6400000,15.0060000,0.1260000,-0.1260000,12.2840000,0.0190000,-0.0190000,14.6336000,0.0002800,-0.0002800,2016-07-14,2016-09,2016-07-18
K2-43 b,K2-43,TIC 443616612,Gaia DR2 3789847707126025600,1,1,2,Transit,2016,K2,Published Confirmed,0,<a refstr=HEDGES_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L...5H/abstract target=ref>Hedges et al. 2019</a>,3.47114900,0.00010400,-0.00005200,0,,,,,4.510,0.440,-0.190,0,0.402,0.039,-0.017,0,,,,,,,,,,,,,,,,,,939,38,-18,0,0,<a refstr=HEDGES_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L...5H/abstract target=ref>Hedges et al. 2019</a>,,3840.60,98.80,-49.50,0,0.54,0.05,-0.02,0,0.57,0.11,-0.06,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h16m28.09s,169.1170280,-03d58m31.59s,-3.9754405,182.5360000,1.9095000,-1.9095000,15.7480000,1.1330000,-1.1330000,11.5770000,0.0240000,-0.0240000,14.8215000,0.0009140,-0.0009140,2019-08-09,2019-07,2019-08-15
K2-43 c,K2-43,TIC 443616612,Gaia DR2 3789847707126025600,1,1,2,Transit,2019,K2,Published Confirmed,0,<a refstr=HEDGES_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L...5H/abstract target=ref>Hedges et al. 2019</a>,2.19888400,0.00002200,-0.00001100,0,,,,,2.420,0.260,-0.110,0,0.216,0.023,-0.010,0,,,,,,,,,,,,,,,,,,1094,44,-22,0,0,<a refstr=HEDGES_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L...5H/abstract target=ref>Hedges et al. 2019</a>,,3840.60,98.80,-49.50,0,0.54,0.05,-0.02,0,0.57,0.11,-0.06,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h16m28.09s,169.1170280,-03d58m31.59s,-3.9754405,182.5360000,1.9095000,-1.9095000,15.7480000,1.1330000,-1.1330000,11.5770000,0.0240000,-0.0240000,14.8215000,0.0009140,-0.0009140,2019-08-09,2019-07,2019-08-15
K2-44 b,K2-44,TIC 49427836,Gaia DR2 3793339378098543616,1,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp; Fors 2020</a>,5.65700000,0.00020000,-0.00020000,0,0.060000,0.001900,-0.002900,0,2.433,0.089,-0.072,0,0.217,0.008,-0.006,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp; Fors 2020</a>,,5912.00,51.00,-51.00,0,1.58,0.15,-0.15,0,1.15,0.06,-0.06,0,0.000,,,0,[Fe/H],4.10,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h36m02.80s,174.0116610,-02d31m15.36s,-2.5209338,476.7030000,10.2020000,-9.7910000,12.2700000,0.0690000,-0.0690000,10.6930000,0.0240000,-0.0240000,12.0238000,0.0002930,-0.0002930,2020-11-13,2020-08,2020-11-19
K2-45 b,K2-45,TIC 38087018,Gaia DR2 3790858845506203264,1,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,1.72926840,0.00000690,-0.00000690,0,0.022400,0.001200,-0.001200,0,6.710,0.000,0.000,0,0.599,0.000,0.000,0,,,,,,,,,,,,,,100.00,32.00,-32.00,0,,,,,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,4103.00,90.00,-90.00,0,0.45,0.07,-0.07,0,0.50,0.08,-0.08,0,,,,,,4.82,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h18m31.86s,169.6327547,-01d46m26.61s,-1.7740582,495.3170000,10.7770000,-10.3350000,15.7460000,0.1950000,-0.1950000,12.7560000,0.0330000,-0.0330000,15.3442000,0.0008390,-0.0008390,2016-07-14,2016-09,2016-07-18
K2-46 b,K2-46,TIC 49430892,Gaia DR2 3794162976731206272,1,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,19.15410000,0.00410000,-0.00410000,0,0.138210,0.000960,-0.000960,0,2.050,0.240,-0.240,0,0.183,0.021,-0.021,0,,,,,,,,,,,,,,119.00,22.00,-22.00,0,,,,,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,6256.00,37.00,-37.00,0,1.29,0.12,-0.12,0,0.96,0.02,-0.02,0,,,,,,4.20,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h37m03.90s,174.2662454,-00d54m25.96s,-0.9072100,449.2370000,10.6630000,-10.1880000,12.1440000,0.0690000,-0.0690000,10.7810000,0.0240000,-0.0240000,11.9153000,0.0003720,-0.0003720,2016-07-14,2016-09,2016-07-18
K2-47 b,K2-47,TIC 301603728,Gaia DR2 3811760011794444928,1,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,31.63720000,0.00880000,-0.00880000,0,0.177900,0.001600,-0.001600,0,1.890,0.260,-0.260,0,0.169,0.023,-0.023,0,,,,,,,,,,,,,,10.70,1.10,-1.10,0,,,,,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,5054.00,82.00,-82.00,0,0.76,0.03,-0.03,0,0.75,0.02,-0.02,0,,,,,,4.54,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h14m19.82s,168.5825696,+02d46m50.02s,2.7805614,349.8810000,5.2745000,-5.2745000,14.0650000,0.1140000,-0.1140000,11.7350000,0.0270000,-0.0270000,13.7404000,0.0003590,-0.0003590,2016-07-14,2016-09,2016-07-18
K2-48 b,K2-48,TIC 397022282,Gaia DR2 3799841752426128896,1,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,20.50650000,0.00350000,-0.00350000,0,0.134400,0.001200,-0.001200,0,2.240,0.240,-0.240,0,0.200,0.021,-0.021,0,,,,,,,,,,,,,,15.30,1.30,-1.30,0,,,,,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,4899.00,78.00,-78.00,0,0.73,0.02,-0.02,0,0.77,0.02,-0.02,0,,,,,,4.60,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h44m29.59s,176.1233077,+03d16m20.57s,3.2723812,313.7640000,2.8560000,-2.8560000,14.3450000,0.0800000,-0.0800000,11.8380000,0.0270000,-0.0270000,13.9677000,0.0006220,-0.0006220,2016-07-14,2016-09,2016-07-18
K2-49 b,K2-49,TIC 325335564,Gaia DR2 3895843479901597440,1,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,2.77065000,0.00015000,-0.00015000,0,0.030900,0.002900,-0.002900,0,1.930,0.530,-0.530,0,0.172,0.047,-0.047,0,,,,,,,,,,,,,,59.00,35.00,-35.00,0,,,,,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,4175.00,97.00,-97.00,0,0.45,0.12,-0.12,0,0.51,0.14,-0.14,0,,,,,,4.81,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h49m16.86s,177.3202331,+03d28m31.87s,3.4755183,457.1250000,10.2230000,-9.7930000,15.6680000,0.0840000,-0.0840000,12.7290000,0.0300000,-0.0300000,15.2444000,0.0005710,-0.0005710,2016-07-14,2016-09,2016-07-18
K2-5 b,K2-5,TIC 38064757,Gaia DR2 3791512745687354496,1,1,2,Transit,2015,K2,Published Confirmed,0,<a refstr=SINUKOFF_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827...78S/abstract target=ref>Sinukoff et al. 2016</a>,5.73594000,0.00064000,-0.00064000,0,0.053200,0.003800,-0.003800,0,1.910,0.440,-0.440,0,0.170,0.039,-0.039,0,,,,,,,,,,,,,,24.10,18.40,-11.30,0,565,84,-84,0,0,<a refstr=SINUKOFF_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827...78S/abstract target=ref>Sinukoff et al. 2016</a>,K7.5 V,3930.00,375.00,-375.00,0,0.57,0.12,-0.12,0,0.61,0.13,-0.13,0,-0.330,0.190,-0.190,0,[Fe/H],4.71,0.21,-0.21,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h17m12.83s,169.3034598,-01d52m40.17s,-1.8778254,202.9430000,1.6650000,-1.6390000,14.9740000,0.2750000,-0.2750000,11.5950000,0.0230000,-0.0230000,14.3390000,0.0004990,-0.0004990,2016-07-06,2016-08,2016-07-07
K2-5 c,K2-5,TIC 38064757,Gaia DR2 3791512745687354496,1,1,2,Transit,2015,K2,Published Confirmed,0,<a refstr=SINUKOFF_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827...78S/abstract target=ref>Sinukoff et al. 2016</a>,10.93241000,0.00134000,-0.00134000,0,0.081800,0.005900,-0.005900,0,2.260,0.620,-0.620,0,0.202,0.055,-0.055,0,,,,,,,,,,,,,,10.20,7.80,-4.80,0,456,68,-68,0,0,<a refstr=SINUKOFF_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827...78S/abstract target=ref>Sinukoff et al. 2016</a>,K7.5 V,3930.00,375.00,-375.00,0,0.57,0.12,-0.12,0,0.61,0.13,-0.13,0,-0.330,0.190,-0.190,0,[Fe/H],4.71,0.21,-0.21,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h17m12.83s,169.3034598,-01d52m40.17s,-1.8778254,202.9430000,1.6650000,-1.6390000,14.9740000,0.2750000,-0.2750000,11.5950000,0.0230000,-0.0230000,14.3390000,0.0004990,-0.0004990,2016-07-06,2016-08,2016-07-07
K2-50 b,K2-50,TIC 363444743,Gaia DR2 3817000078053804672,1,1,2,Transit,2016,K2,Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,8.75290000,0.00130000,-0.00130000,0,0.070500,0.002200,-0.002200,0,1.590,0.240,-0.240,0,0.142,0.021,-0.021,0,,,,,,,,,,,,,,18.80,4.30,-4.30,0,,,,,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,4326.00,128.00,-128.00,0,0.55,0.05,-0.05,0,0.61,0.06,-0.06,0,,,,,,4.74,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h17m56.08s,169.4836540,+05d59m17.84s,5.9882890,257.4430000,3.2390000,-3.2390000,14.7050000,0.1600000,-0.1600000,11.6640000,0.0230000,-0.0230000,14.2575000,0.0005130,-0.0005130,2016-07-14,2016-09,2016-07-18
